时间,目标力,制动压力,踏板位移,踏板力,FL_RR,FR_RL,FL,FR,RL,RR
16:34:00.01,350.000,0.000,-0.442,-3.819,0.017,-0.002,0.020,0.018,0.007,-0.018
16:34:00.03,350.000,0.000,-0.406,-4.010,-0.002,0.015,0.011,0.007,-0.011,0.007
16:34:00.05,350.000,0.000,-0.471,-5.220,0.009,0.014,0.019,-0.002,0.021,-0.031
16:34:00.07,350.000,0.000,-0.318,-3.628,0.006,0.007,0.010,0.022,0.014,-0.007
16:34:00.09,350.000,0.000,-0.393,-4.647,0.020,0.010,0.001,-0.003,0.013,-0.048
16:34:00.11,350.000,0.000,-0.477,-3.119,0.011,0.020,0.007,0.004,0.006,-0.016
16:34:00.13,350.000,0.000,-0.432,-4.201,0.024,0.012,0.012,0.002,0.022,-0.026
16:34:00.15,350.000,0.000,-0.438,-3.883,0.009,0.014,0.020,0.017,0.008,-0.033
16:34:00.17,350.000,0.000,-0.442,-4.520,0.009,0.015,0.024,0.012,0.007,-0.015
16:34:00.19,350.000,0.000,-0.438,-4.138,0.017,0.020,0.020,-0.006,0.027,-0.025
16:34:00.21,350.000,0.000,-0.399,-4.902,0.005,0.010,0.001,0.024,0.004,-0.015
16:34:00.23,350.000,0.000,-0.432,-3.628,0.026,-0.011,0.015,0.002,0.011,-0.012
16:34:00.25,350.000,0.000,-0.451,-0.573,0.006,0.015,0.004,0.015,0.013,-0.038
16:34:00.27,350.000,0.000,-0.451,-1.464,0.002,0.011,0.004,0.018,0.010,-0.017
16:34:00.29,350.000,0.000,-0.393,1.400,0.015,-0.000,0.007,0.001,-0.002,-0.022
16:34:00.31,350.000,0.000,-0.325,0.509,0.015,0.017,0.007,0.006,0.013,-0.018
16:34:00.33,350.000,0.000,-0.393,3.246,0.007,-0.001,0.015,-0.009,0.014,-0.026
16:34:00.35,350.000,0.000,-0.237,4.329,0.020,0.003,0.004,-0.003,0.014,-0.015
16:34:00.37,350.000,0.000,-0.149,5.793,0.005,-0.004,0.011,0.019,0.006,-0.030
16:34:00.39,350.000,0.000,-0.130,6.493,0.017,0.011,0.022,0.028,-0.001,-0.004
16:34:00.41,350.000,0.000,-0.023,5.538,0.014,0.030,0.000,-0.002,0.001,-0.033
16:34:00.43,350.000,0.000,0.045,5.729,0.018,0.022,0.002,0.026,0.015,-0.021
16:34:00.45,350.000,0.000,0.162,4.965,0.016,0.012,0.017,0.016,0.018,-0.024
16:34:00.47,350.000,0.000,0.227,2.419,0.023,0.010,0.011,0.025,0.006,-0.014
16:34:00.49,350.000,0.000,0.296,-1.082,0.007,-0.011,0.025,-0.011,0.026,-0.030
16:34:00.51,350.000,0.000,0.490,-2.228,0.022,-0.011,0.005,0.015,0.020,-0.025
16:34:00.53,350.000,0.000,0.516,0.191,0.011,-0.021,0.020,0.014,0.017,-0.033
16:34:00.55,350.000,0.000,0.575,-0.700,0.015,-0.038,0.007,0.014,-0.004,-0.028
16:34:00.58,350.000,0.000,0.588,5.538,0.014,-0.034,0.017,-0.011,0.026,-0.026
16:34:00.60,350.000,0.000,0.766,5.156,0.009,-0.025,0.015,0.009,0.022,-0.024
16:34:00.62,350.000,0.000,0.815,6.939,0.014,-0.007,0.006,0.001,0.014,-0.025
16:34:00.64,350.000,0.000,0.919,3.310,0.012,-0.008,0.010,0.016,0.012,-0.035
16:34:00.66,350.000,0.000,1.030,6.939,0.013,0.013,0.017,0.004,0.019,-0.024
16:34:00.68,350.000,0.000,1.195,6.238,0.017,0.020,0.011,0.008,0.026,-0.024
16:34:00.70,350.000,0.000,1.257,5.665,0.009,0.031,0.002,0.004,0.001,-0.012
16:34:00.72,350.000,0.000,1.211,6.302,0.011,0.006,0.023,-0.000,0.011,-0.020
16:34:00.74,350.000,0.000,1.345,7.511,0.009,-0.004,0.003,0.013,0.005,-0.002
16:34:00.76,350.000,0.000,1.413,8.212,0.017,-0.007,0.020,-0.007,0.032,-0.029
16:34:00.78,350.000,0.000,1.497,7.575,0.011,-0.012,0.013,0.018,0.005,-0.020
16:34:00.80,350.000,0.000,1.569,12.668,0.017,0.004,0.019,0.007,0.024,-0.035
16:34:00.82,350.000,0.000,1.686,11.522,0.004,0.026,-0.004,0.015,0.013,-0.033
16:34:00.84,350.000,0.000,1.744,11.522,0.018,0.017,0.028,-0.021,0.013,-0.041
16:34:00.86,350.000,0.000,1.890,15.214,0.003,0.005,0.003,0.019,0.004,-0.020
16:34:00.88,350.000,0.000,1.861,15.850,0.007,-0.013,0.007,-0.004,0.022,-0.025
16:34:00.90,350.000,0.000,2.075,11.776,0.009,0.076,-0.000,0.013,0.011,-0.015
16:34:00.92,350.000,0.000,2.004,14.577,0.018,0.026,0.024,0.001,0.004,-0.028
16:34:00.94,350.000,0.000,2.189,18.206,0.003,0.042,0.009,0.019,0.010,-0.002
16:34:00.96,350.000,0.000,2.218,16.360,0.011,0.046,0.005,-0.015,0.010,-0.038
16:34:00.98,350.000,0.000,2.348,14.323,0.001,0.030,0.009,0.005,0.004,-0.017
16:34:01.00,350.000,0.000,2.400,18.015,0.009,0.027,0.022,-0.006,0.016,-0.037
16:34:01.02,350.000,0.000,2.478,20.179,0.017,0.050,0.016,0.001,0.006,-0.006
16:34:01.05,350.000,0.000,2.543,17.760,-0.000,0.014,0.018,-0.006,0.022,-0.038
16:34:01.07,350.000,0.000,2.686,24.190,0.011,0.028,0.011,0.006,-0.001,-0.001
16:34:01.09,350.000,0.000,2.731,25.781,0.015,0.037,0.018,-0.000,0.024,-0.048
16:34:01.11,350.000,0.000,2.884,22.916,0.005,0.033,0.013,0.019,0.012,-0.011
16:34:01.13,350.000,0.000,2.972,22.343,0.014,0.015,0.013,-0.029,0.019,-0.026
16:34:01.15,350.000,0.000,3.030,26.608,-0.004,0.010,0.006,0.012,0.016,-0.024
16:34:01.17,350.000,0.000,3.189,30.364,0.019,0.015,0.024,-0.005,0.016,-0.026
16:34:01.19,350.000,0.000,3.271,25.654,0.015,0.014,0.014,0.013,0.026,-0.013
16:34:01.21,350.000,0.000,3.264,23.235,-0.002,0.017,0.017,0.016,0.015,-0.018
16:34:01.23,350.000,0.000,3.316,21.325,0.018,0.020,0.022,-0.000,0.019,-0.027
16:34:01.25,350.000,0.000,3.491,22.534,0.010,0.015,0.020,0.024,0.004,-0.009
16:34:01.27,350.000,0.000,3.482,23.044,0.018,0.004,0.012,0.007,0.030,-0.036
16:34:01.29,350.000,0.000,3.576,28.709,0.014,0.018,0.009,-0.004,0.020,-0.004
16:34:01.31,350.000,0.000,3.634,34.056,0.009,0.000,0.014,-0.003,0.011,-0.032
16:34:01.33,350.000,0.000,3.745,33.420,0.020,-0.007,0.015,-0.006,0.018,-0.028
16:34:01.35,350.000,0.000,3.875,34.566,0.005,0.013,0.002,0.030,0.014,-0.017
16:34:01.37,350.000,0.000,3.907,34.375,0.027,-0.012,0.017,-0.002,0.019,-0.026
16:34:01.40,350.000,0.000,4.011,38.003,0.006,0.020,-0.002,0.020,0.005,-0.016
16:34:01.42,350.000,0.000,4.073,38.067,0.014,0.002,0.018,0.000,0.031,-0.030
16:34:01.43,350.000,0.000,4.212,31.765,0.018,0.001,0.009,0.026,0.009,-0.021
16:34:01.46,350.000,0.000,4.212,32.656,0.020,-0.000,0.009,0.013,0.024,-0.028
16:34:01.48,350.000,0.000,4.362,31.001,0.019,0.005,0.026,0.018,0.009,-0.018
16:34:01.50,350.000,0.000,4.411,32.847,-0.003,0.020,0.016,0.006,0.003,-0.018
16:34:01.52,350.000,0.000,4.453,33.929,0.015,0.004,0.017,0.018,0.017,-0.035
16:34:01.54,350.000,0.000,4.524,42.841,0.011,0.007,0.015,0.020,0.022,-0.006
16:34:01.56,350.000,0.000,4.638,44.432,0.012,0.011,0.011,0.020,0.002,-0.021
16:34:01.58,350.000,0.000,4.752,44.560,0.011,0.013,0.017,0.015,0.013,0.010
16:34:01.60,350.000,0.000,4.852,46.533,0.018,0.010,0.031,0.024,0.030,-0.038
16:34:01.62,350.000,0.000,4.998,45.196,0.038,0.020,0.028,0.030,0.027,0.004
16:34:01.64,350.000,0.000,5.070,40.486,0.029,0.007,0.022,0.034,0.038,-0.017
16:34:01.66,350.000,0.000,5.148,36.348,0.043,0.005,0.030,0.014,0.023,-0.004
16:34:01.68,350.000,0.000,5.206,38.767,0.019,0.030,0.030,0.037,0.030,-0.007
16:34:01.70,350.000,0.000,5.174,39.976,0.030,-0.002,0.043,0.022,0.048,-0.004
16:34:01.72,350.000,0.000,5.336,39.276,0.023,0.005,0.010,0.048,0.024,0.001
16:34:01.74,350.000,0.000,5.330,40.931,0.027,0.027,0.041,0.033,0.041,0.006
16:34:01.76,350.000,0.000,5.492,40.931,0.039,0.041,0.039,0.049,0.028,0.007
16:34:01.78,350.000,0.000,5.586,42.013,0.035,0.020,0.031,0.043,0.041,0.017
16:34:01.80,350.000,0.000,5.612,43.541,0.031,0.013,0.043,0.032,0.054,-0.017
16:34:01.82,350.000,0.000,5.755,47.424,0.037,0.013,0.033,0.040,0.039,0.030
16:34:01.84,350.000,0.000,5.810,50.161,0.040,0.046,0.039,0.056,0.047,0.007
16:34:01.86,350.000,0.000,5.846,47.679,0.050,0.021,0.051,0.061,0.041,0.030
16:34:01.88,350.000,0.000,6.015,49.970,0.042,0.043,0.046,0.048,0.056,0.013
16:34:01.90,350.000,0.000,6.025,54.172,0.063,0.046,0.057,0.050,0.050,0.033
16:34:01.92,350.000,0.000,6.161,53.917,0.044,0.052,0.033,0.068,0.052,0.026
16:34:01.94,350.000,0.000,6.213,48.697,0.072,0.041,0.054,0.054,0.061,0.014
16:34:01.96,350.000,0.000,6.333,48.443,0.051,0.054,0.049,0.067,0.074,0.019
16:34:01.98,350.000,0.000,6.372,51.371,0.057,0.055,0.062,0.063,0.077,0.017
16:34:02.00,350.000,0.000,6.486,50.480,0.066,0.052,0.054,0.067,0.065,0.037
16:34:02.02,350.000,0.000,6.470,51.371,0.058,0.059,0.069,0.067,0.080,0.028
16:34:02.04,350.000,0.000,6.596,56.463,0.072,0.072,0.065,0.083,0.076,0.041
16:34:02.06,350.000,0.000,6.707,58.500,0.054,0.088,0.062,0.084,0.079,0.024
16:34:02.08,350.000,0.000,6.765,55.381,0.076,0.072,0.082,0.069,0.082,0.065
16:34:02.10,350.000,0.000,6.866,55.636,0.067,0.072,0.057,0.074,0.073,0.050
16:34:02.12,350.000,0.000,6.908,60.410,0.082,0.066,0.085,0.065,0.087,0.072
16:34:02.14,350.000,0.000,7.025,61.938,0.082,0.078,0.073,0.098,0.087,0.056
16:34:02.16,350.000,0.000,7.119,59.583,0.084,0.061,0.093,0.072,0.091,0.053
16:34:02.18,350.000,0.000,7.207,58.246,0.075,0.101,0.071,0.102,0.088,0.056
16:34:02.20,350.000,0.000,7.278,62.702,0.085,0.083,0.087,0.087,0.093,0.060
