时间,目标力,制动压力,踏板位移,踏板力,FL_RR,FR_RL,FL,FR,RL,RR
34:02.2,350,0,7.278,62.702,0.085,0.083,0.087,0.087,0.093,0.06
34:02.2,350,0.3,7.415,60.665,0.089,0.093,0.091,0.111,0.093,0.081
34:02.2,350,0,7.447,59.774,0.105,0.083,0.1,0.099,0.108,0.039
34:02.3,350,0.3,7.532,63.657,0.098,0.109,0.104,0.093,0.112,0.069
34:02.3,350,0.3,7.632,67.603,0.095,0.115,0.097,0.119,0.101,0.074
34:02.3,350,0.3,7.701,65.375,0.102,0.095,0.108,0.096,0.126,0.08
34:02.3,350,0.3,7.811,64.23,0.088,0.119,0.095,0.119,0.105,0.078
34:02.3,350,0.3,7.753,66.903,0.13,0.102,0.113,0.118,0.126,0.101
34:02.4,350,0.3,7.996,70.659,0.108,0.116,0.097,0.135,0.117,0.082
34:02.4,350,0.3,7.947,68.94,0.121,0.101,0.117,0.119,0.122,0.088
34:02.4,350,0.3,8.103,68.24,0.119,0.117,0.118,0.141,0.131,0.108
34:02.4,350,0.3,8.142,71.868,0.127,0.121,0.132,0.114,0.139,0.1
34:02.5,350,0.3,8.383,68.876,0.124,0.113,0.126,0.134,0.13,0.121
34:02.5,350,0.3,8.363,67.158,0.109,0.121,0.134,0.135,0.152,0.111
34:02.5,350,0.3,8.474,67.54,0.131,0.135,0.141,0.152,0.137,0.132
34:02.5,350,0.3,8.529,75.56,0.136,0.135,0.145,0.142,0.152,0.124
34:02.5,350,0.3,8.61,71.295,0.146,0.119,0.153,0.154,0.143,0.128
34:02.6,350,0.3,8.655,70.213,0.141,0.137,0.145,0.163,0.146,0.132
34:02.6,350,0.3,8.759,75.369,0.167,0.144,0.156,0.17,0.167,0.127
34:02.6,350,0.3,8.837,75.942,0.145,0.146,0.139,0.172,0.153,0.132
34:02.6,350,0.3,8.87,76.197,0.161,0.136,0.174,0.154,0.183,0.136
34:02.6,350,0.3,9.026,78.552,0.154,0.166,0.162,0.18,0.169,0.139
34:02.7,350,0.3,9.055,84.345,0.169,0.148,0.187,0.17,0.203,0.148
34:02.7,350,0.4,9.136,79.252,0.183,0.161,0.182,0.189,0.171,0.157
34:02.7,350,0.3,9.175,78.107,0.189,0.152,0.183,0.2,0.195,0.159
34:02.7,350,0.4,9.402,76.133,0.19,0.182,0.185,0.21,0.198,0.155
34:02.7,350,0.4,9.415,80.589,0.18,0.183,0.196,0.2,0.205,0.157
34:02.8,350,0.4,9.487,81.926,0.188,0.185,0.198,0.214,0.213,0.161
34:02.8,350,0.4,9.552,85.618,0.208,0.195,0.203,0.213,0.219,0.175
34:02.8,350,0.4,9.656,90.01,0.206,0.201,0.207,0.222,0.217,0.176
34:02.8,350,0.4,9.737,88.801,0.206,0.196,0.206,0.219,0.224,0.206
34:02.8,350,0.4,9.841,84.918,0.222,0.21,0.219,0.227,0.244,0.174
34:02.9,350,0.4,9.834,85.745,0.231,0.212,0.227,0.235,0.23,0.204
34:02.9,350,0.4,10.013,92.111,0.218,0.239,0.248,0.25,0.241,0.215
